,scheme1_se_exper,scheme1_se_std,scheme1_cpmg_exper,scheme1_cpmg_std,scheme2_exper,scheme2_std,scheme1_se_thero,scheme1_cpmg_thero,scheme2_thero
0,0.9722,0.0041665333312,0.9802,0.00470744091838,0.955,0.00328633534503,0.99,0.99,0.99
1,0.975,0.0070142711667,0.9264,0.0953091810898,0.9422,0.0109434912162,0.99,0.99,0.99
2,0.9496,0.0160822883944,0.9668,0.00146969384567,0.9608,0.00474973683482,0.99,0.99,0.99
3,0.895,0.00729383301152,0.9216,0.0032,0.9802,0.00426145515053,0.98,0.98,0.99
4,0.8646,0.0106695829347,0.8578,0.00526877594893,0.9324,0.00265329983228,0.98,0.98,0.98
5,0.9176,0.00773563184233,0.9416,0.00431740662898,0.8292,0.0225512749085,0.98,0.99,0.95
6,0.9456,0.00747261667691,0.9552,0.00837615663655,0.7864,0.0257883694715,0.98,0.98,0.92
7,0.8138,0.0143721953786,0.7982,0.0380441848382,0.9044,0.0232774569058,0.96,0.95,0.95
8,0.8886,0.00557135531087,0.9024,0.0164632925018,0.8934,0.0183150211575,0.99,0.99,0.97
