,Berry Phase,W
0,0.5541454741679722,0.9995879150930148
1,0.3176772571689009,0.9316147272343864
2,0.4244643862989346,0.9437487895503642
3,0.39193445100946916,0.9424653839796979
4,0.3958329555591838,0.945077435980777
5,0.3415331627133765,0.932527330549739
6,0.32427188342157537,0.9317003109303736
7,0.30938668579212303,0.9335757200141823
8,0.31498882424142277,0.9353528415905967
9,0.30227249858011507,0.9351996578271397
10,0.2941781297917679,0.9343194633015687
11,0.3110527643118325,0.9360877511097865
12,0.3055818392598573,0.935815955708482
13,0.2878652244925246,0.9334077351297231
14,0.2734946546300099,0.9300333279571812
15,0.27271950366077796,0.9323321732354823
16,0.2654315410634465,0.930589826725789
17,0.2699495676260528,0.9303602713830262
18,0.2642831954214495,0.9284461865556003
19,0.27086039849519533,0.9287616809494219
20,0.27366451841620554,0.9285543050924184
21,0.27451817007917606,0.9279271932824543
22,0.2798936109163792,0.929203590129342
23,0.2749563864064672,0.9278529015659971
24,0.2720222775563182,0.9277954843606402
25,0.27682079084940114,0.9288225829148101
26,0.2890393508533713,0.9303713169374731
27,0.2809002959026102,0.928089600266291
28,0.2737599057300201,0.9265018145509614
29,0.26902618625205277,0.9252822296166928
30,0.28027225079116963,0.925466384660357
31,0.26931633016172646,0.9212715503754821
32,0.2630069570681588,0.9205649441214154
33,0.2650481412296183,0.9213501169817465
34,0.27490065857556956,0.9213964379779
35,0.2760554492826319,0.9215009260929248
36,0.27225368598232796,0.9210602522705189
37,0.2800568507074715,0.9215895938547594
38,0.2833248574658407,0.9223631784739665
39,0.2813537669810552,0.922002745386366
40,0.2767657617798181,0.9217105699605034
41,0.2805628690465996,0.9219533844419132
42,0.2813969758372926,0.9220324165542392
43,0.2764164986018115,0.9217159930807458
44,0.27734650295626434,0.9223125042823359
45,0.2702183580671367,0.9200830456888557
46,0.26838182017468987,0.9199986271566499
47,0.2718121808993667,0.9201577178366999
48,0.27399406577245905,0.9206270656926163
49,0.2692339733068104,0.9200239196890478
50,0.26901160151404085,0.9198275585177303
51,0.26936901742109726,0.9199033989031721
52,0.26763353207201807,0.919958618104403
53,0.2675054689199824,0.9200183431403294
54,0.2678491764258796,0.920570839073271
55,0.2704072723408203,0.9211882549296914
56,0.27212286240019706,0.9215238159856473
57,0.270594050202316,0.9208167728337644
58,0.2727917030518229,0.9206184330868424
59,0.27191562449690315,0.9209023014896275
60,0.2733569249475501,0.9211872234048671
61,0.26795882076953725,0.9199927639628595
62,0.26755671342053355,0.9198063315604761
63,0.2678937217665556,0.9199062839708549
