,se_exper,se_std,cpmg_exper,cpmg_std,bp_se_thero,bp_cpmg_thero
0,0.9742,0.00462168800332,0.9762,0.0036551333765,0.99,0.99
1,0.9778,0.0073047929471,0.972,0.009838699101,0.99,0.99
2,0.9452,0.00842377587546,0.9594,0.0141788574998,0.97,0.97
3,0.8378,0.0270880047253,0.8518,0.0216092572755,0.92,0.89
4,0.6446,0.0561269988508,0.679,0.0351226422696,0.78,0.78
5,0.5482,0.12887575412,0.6158,0.0756343837153,0.62,0.62
6,0.4314,0.170761353942,0.4434,0.0775850501063,0.45,0.53
7,0.262,0.180138835347,0.4282,0.200572580379,0.31,0.26
8,0.1782,0.121762720075,0.3176,0.105765022574,0.2,0.19
