,0
-1.5,1.0
-1.4,1.0
-1.3,1.0
-1.2,1.0
-1.1,1.0
-1.0,0.65
-0.8999999999999999,1.0
-0.7999999999999999,1.0
-0.7,1.0
-0.6,1.0
-0.5,1.0
-0.3999999999999999,1.0
-0.2999999999999998,1.0
-0.19999999999999996,1.0
-0.09999999999999987,1.0
0.0,1.0
0.10000000000000009,1.0
0.20000000000000018,1.0
0.30000000000000004,1.0
0.40000000000000013,1.0
0.5,1.0
0.6000000000000001,1.0
0.7000000000000002,1.0
0.8000000000000003,1.0
0.9000000000000004,1.0
1.0,1.0
1.1,0.99
1.2000000000000002,0.99
1.3000000000000003,0.99
1.4000000000000004,0.99
1.5,0.99
1.6,0.99
1.7000000000000002,0.98
1.8000000000000003,0.98
1.9000000000000004,0.97
2.0,0.97
2.1,0.96
2.2,0.95
2.3000000000000003,0.94
2.4000000000000004,0.92
2.5,0.91
2.6000000000000005,0.89
2.7,0.86
2.8,0.84
2.9000000000000004,0.81
3.0,0.78
3.1000000000000005,0.75
3.2,0.73
3.3000000000000007,0.71
3.4000000000000004,0.7
3.5,0.69
3.6000000000000005,0.69
3.7,0.7
3.8000000000000007,0.7
3.9000000000000004,0.7
4.0,0.69
4.1000000000000005,0.68
4.2,0.62
4.300000000000001,0.58
4.4,0.53
4.5,0.49
