,0
0.1,1.0
0.2,1.0
0.30000000000000004,1.0
0.4,1.0
0.5,1.0
0.6,1.0
0.7000000000000001,1.0
0.8,1.0
0.9,1.0
1.0,0.99
1.1,0.99
1.2000000000000002,0.99
1.3000000000000003,0.99
1.4000000000000001,0.99
1.5000000000000002,0.99
1.6,0.99
1.7000000000000002,0.99
1.8000000000000003,0.99
1.9000000000000001,0.99
2.0,0.98
2.1,0.98
2.2,0.98
2.3000000000000003,0.98
2.4000000000000004,0.98
2.5000000000000004,0.98
2.6,0.98
2.7,0.98
2.8000000000000003,0.98
2.9000000000000004,0.98
3.0000000000000004,0.98
3.1,0.98
3.2,0.98
3.3000000000000003,0.99
3.4000000000000004,0.99
3.5000000000000004,0.99
3.6,0.99
3.7,0.99
3.8000000000000003,0.99
3.9000000000000004,0.99
4.0,0.99
4.1,0.99
4.2,0.99
4.3,0.99
4.3999999999999995,0.99
4.5,0.99
4.6,0.99
4.7,0.99
4.8,0.99
4.9,0.99
5.0,0.98
5.1,0.98
5.2,0.98
5.3,0.97
5.4,0.97
5.5,0.96
5.6,0.96
5.7,0.95
5.8,0.94
5.9,0.93
6.0,0.92
6.1,0.91
6.2,0.9
6.3,0.88
6.4,0.87
6.5,0.87
6.6,0.86
6.7,0.85
6.8,0.85
6.9,0.85
7.0,0.86
7.1,0.86
7.2,0.87
7.3,0.88
7.4,0.89
7.5,0.9
7.6,0.92
7.7,0.93
7.8,0.94
7.9,0.94
8.0,0.95
8.1,0.95
8.2,0.95
8.3,0.96
8.4,0.96
8.5,0.96
8.6,0.96
8.7,0.96
8.8,0.96
8.9,0.96
9.0,0.96
9.1,0.96
9.2,0.96
9.3,0.95
9.4,0.95
9.5,0.94
9.6,0.94
9.700000000000001,0.93
9.8,0.93
9.9,0.93
