,0
-1.5,0.98
-1.4,0.98
-1.3,0.98
-1.2,0.98
-1.1,0.98
-1.0,0.62
-0.8999999999999999,0.98
-0.7999999999999999,0.98
-0.7,0.98
-0.6,0.98
-0.5,0.98
-0.3999999999999999,0.98
-0.2999999999999998,0.98
-0.19999999999999996,0.98
-0.09999999999999987,0.98
0.0,0.98
0.10000000000000009,0.98
0.20000000000000018,0.98
0.30000000000000004,0.98
0.40000000000000013,0.98
0.5,0.98
0.6000000000000001,0.98
0.7000000000000002,0.98
0.8000000000000003,0.97
0.9000000000000004,0.97
1.0,0.97
1.1,0.97
1.2000000000000002,0.96
1.3000000000000003,0.96
1.4000000000000004,0.95
1.5,0.94
1.6,0.93
1.7000000000000002,0.92
1.8000000000000003,0.91
1.9000000000000004,0.89
2.0,0.87
2.1,0.85
2.2,0.83
2.3000000000000003,0.8
2.4000000000000004,0.77
2.5,0.75
2.6000000000000005,0.72
2.7,0.69
2.8,0.66
2.9000000000000004,0.64
3.0,0.63
3.1000000000000005,0.62
3.2,0.62
3.3000000000000007,0.62
3.4000000000000004,0.62
3.5,0.63
3.6000000000000005,0.64
3.7,0.65
3.8000000000000007,0.65
3.9000000000000004,0.65
4.0,0.65
4.1000000000000005,0.64
4.2,0.59
4.300000000000001,0.56
4.4,0.52
4.5,0.49
